Date;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH;CH
25/02/2020;;;;;;;;0;;;;;;;;;;;;;0;;;;;;0
26/02/2020;1;;;;;;;1;;2;;;;;;;;;;;1;;;;;;5
27/02/2020;1;;;;;1;;1;;2;1;;;;;;;;;;1;;;;;2;9
28/02/2020;1;;;1;1;1;;4;;6;1;;;;;;;;;;1;;;1;;2;19
29/02/2020;3;;;;2;1;0;8;;6;1;;;;;;;;;;2;;;1;0;6;31
01/03/2020;4;;;2;2;1;1;9;;6;1;;1;;;;;;;;2;;;2;0;7;38
02/03/2020;7;;;4;2;1;2;10;;9;1;;1;;;1;;;;;4;;;4;0;10;56
03/03/2020;7;;;;2;3;2;13;;9;1;;1;;;1;;;1;;8;;;4;1;13;70
04/03/2020;10;;;6;2;3;4;15;;12;1;0;8;;;1;;;3;;13;;;5;1;15;99
05/03/2020;11;;1;;6;8;6;20;;14;2;;9;;;1;;;;1;25;;;6;2;23;144
06/03/2020;12;;1;17;6;15;7;29;;16;3;;13;;;4;;1;6;1;28;;23;6;3;29;220
07/03/2020;14;;1;;15;21;7;42;;17;4;;18;;;4;;;;1;41;;30;7;3;34;283
08/03/2020;14;;1;;20;24;7;44;;18;4;;24;;;5;;;;1;49;;40;14;3;40;332
09/03/2020;15;;2;34;21;28;9;59;;18;5;;27;;;13;;;;2;61;;51;18;10;49;429
10/03/2020;18;;;;24;33;12;79;1;22;6;;31;;;14;;;;5;75;;130;23;10;62;588
11/03/2020;20;;;;30;49;16;112;1;31;6;;37;4;;22;1;;;5;108;;203;30;11;101;830
12/03/2020;27;;5;;31;73;22;153;3;43;9;;46;5;;31;1;;;7;163;2;277;55;11;140;1145
13/03/2020;30;;;;48;92;29;224;6;53;10;;59;5;1;40;1;;9;8;206;;370;71;11;163;1478
14/03/2020;33;2;;;54;100;36;343;8;56;15;;68;5;;47;1;;;11;265;;477;92;13;218;1896
15/03/2020;43;;;;62;;40;425;10;71;16;;74;8;;50;1;;13;13;293;;566;103;13;250;2196
16/03/2020;56;4;;123;85;143;45;549;10;84;19;;93;10;;78;2;;;20;368;;797;162;20;326;3016
17/03/2020;69;5;;;98;164;59;701;12;101;26;;114;12;;107;2;;;29;426;;1040;215;29;429;3783
18/03/2020;96;;11;193;125;181;86;911;14;128;27;65;146;18;;134;8;;;44;511;5;1304;297;33;568;4925
19/03/2020;134;6;;282;143;220;110;1139;16;182;32;;175;25;;154;12;;;51;638;7;1515;335;37;679;5983
20/03/2020;175;;;377;194;270;144;1307;20;226;38;92;189;28;;193;17;66;;59;849;7;1756;430;48;711;7227
21/03/2020;223;;;418;292;297;166;1445;25;258;49;109;200;33;;202;28;;;73;916;12;1875;481;53;919;8171
22/03/2020;235;;;;299;356;201;1549;29;284;51;131;216;36;;213;30;;;80;945;;1977;518;53;978;8708
23/03/2020;245;;30;470;312;374;225;1703;31;300;57;156;247;39;24;262;32;95;;86;1162;22;2283;614;53;1067;9908
24/03/2020;283;8;33;532;317;410;254;1820;33;343;76;205;265;42;25;291;34;104;97;95;1209;25;2548;715;72;1213;11049
25/03/2020;318;9;34;624;353;462;292;1959;40;393;89;228;280;44;27;321;35;129;;112;1354;;2740;784;80;1357;12186
26/03/2020;367;11;42;660;434;501;308;2160;43;433;97;253;299;48;30;352;36;141;107;117;1401;38;2945;860;87;1489;13259
27/03/2020;407;12;44;718;478;530;368;2321;47;474;110;287;316;54;37;387;37;157;119;131;1688;40;3179;952;94;1616;14603
28/03/2020;444;13;45;767;514;569;420;2527;47;495;115;317;337;55;;395;40;173;122;140;1727;48;3310;998;101;1690;15446
29/03/2020;485;;48;798;524;605;441;2638;50;519;118;339;346;59;;397;41;190;128;148;1837;50;3395;1032;101;1722;16061
30/03/2020;506;14;50;826;553;617;476;2855;51;535;123;351;378;63;46;434;42;;135;158;1962;53;3607;1117;112;1848;17102
31/03/2020;554;14;58;856;578;653;490;3109;53;547;132;375;402;70;47;470;44;196;140;169;2091;57;3766;1185;114;1936;18106
01/04/2020;596;;61;909;606;687;524;3289;56;592;140;401;420;70;49;492;44;216;146;185;2195;59;3918;1254;125;2125;19173
02/04/2020;631;20;64;1003;629;714;549;3582;58;622;144;422;430;76;51;514;47;227;155;197;2271;60;4052;1301;131;2289;20239
03/04/2020;673;20;65;1073;646;754;587;3793;59;649;145;449;444;79;56;546;47;237;165;209;2377;62;4187;1351;138;2417;21228
04/04/2020;702;21;66;1106;682;767;637;3928;61;657;149;469;452;80;;555;47;250;168;215;2442;66;4259;1384;146;2450;21815
05/04/2020;736;;67;1137;696;789;668;4013;63;668;155;478;463;80;;561;49;258;170;220;2508;67;4298;1399;146;2480;22246
06/04/2020;763;21;69;1173;708;798;688;4137;63;679;159;497;485;86;60;597;50;261;178;229;2546;67;4417;1467;152;2594;22944
07/04/2020;793;21;69;1228;716;808;728;4312;63;684;166;509;509;87;60;621;50;264;185;250;2599;68;4497;1505;157;2677;23626
08/04/2020;832;23;72;1286;722;829;755;4442;64;698;169;527;513;93;61;634;50;276;196;262;2659;72;4588;1542;162;2771;24298
09/04/2020;853;24;74;1335;739;841;785;4533;67;719;174;542;545;96;62;646;52;282;213;268;2714;72;4685;1569;165;2868;24923
10/04/2020;880;;77;1375;751;854;795;4577;76;730;177;560;564;100;;649;53;294;215;282;2776;74;4733;1601;168;2908;25355
11/04/2020;901;24;77;1419;765;861;833;4627;91;743;178;568;573;103;;657;55;306;249;287;2818;75;4773;1625;168;2966;25804
12/04/2020;909;;;1441;770;877;845;4650;91;747;178;576;583;104;;664;57;315;251;294;2869;77;4810;1638;168;2983;26060
13/04/2020;916;24;78;1456;780;888;858;4693;92;750;179;580;588;104;;670;57;321;251;297;2900;78;4854;1652;170;3000;26298
14/04/2020;930;24;79;1470;787;894;878;4750;105;753;180;589;599;105;64;679;57;325;258;303;2912;78;4921;1681;171;3047;26639
15/04/2020;945;24;79;1489;800;904;889;4813;105;759;183;596;612;106;64;689;59;329;261;311;2927;78;4970;1694;171;3094;26951
16/04/2020;962;24;79;1515;813;912;906;4878;106;764;184;599;621;106;65;695;60;343;265;322;2953;78;4999;1711;171;3129;27260
17/04/2020;988;24;82;1553;826;918;929;4922;108;770;186;607;630;107;66;707;60;350;266;331;2977;78;5031;1728;172;3152;27568
18/04/2020;1007;;;1586;830;924;955;4966;111;773;187;623;633;108;;710;61;353;266;334;2994;78;5049;1737;174;3191;27822
19/04/2020;1015;24;;1599;835;927;979;4976;111;778;187;626;634;108;;713;62;355;268;336;3032;78;5060;1746;175;3218;27990
20/04/2020;1017;24;86;1613;838;928;988;5003;114;785;190;633;643;108;67;725;63;355;272;340;3058;78;5092;1765;175;3234;28194
21/04/2020;1026;24;86;1622;842;928;994;5037;115;787;190;643;648;108;67;738;63;359;276;342;3065;78;5123;1773;176;3259;28369
22/04/2020;1037;24;87;1643;844;928;1005;5066;117;791;191;648;655;108;67;741;63;368;282;353;3089;78;5144;1780;176;3299;28584
23/04/2020;1052;25;88;1670;844;931;1013;5100;117;794;191;654;662;108;68;747;65;375;282;359;3106;78;5175;1795;178;3316;28793
24/04/2020;1069;25;88;1694;850;936;1020;5119;117;799;191;660;665;108;71;756;70;376;284;360;3121;78;5197;1804;180;3344;28982
25/04/2020;1077;25;;1708;853;938;1028;5136;120;800;191;667;666;108;;761;71;379;287;361;3142;78;5210;1809;181;3375;29130
26/04/2020;1087;;;1714;853;940;1032;5141;120;802;191;670;667;110;;761;72;380;293;361;3161;80;5218;1811;181;3378;29207
27/04/2020;1092;25;94;1722;853;941;1039;5158;121;807;191;674;672;110;75;766;73;382;293;362;3169;83;5236;1829;185;3396;29348
28/04/2020;1098;25;94;1733;855;943;1043;5178;121;809;192;677;676;111;78;770;74;383;295;364;3176;85;5258;1839;185;3411;29473
29/04/2020;1105;25;94;1741;859;946;1056;5195;122;811;192;687;680;111;78;776;74;384;295;365;3191;85;5272;1846;185;3440;29615
30/04/2020;1111;25;95;1757;861;951;1069;5204;122;813;193;694;685;113;78;778;75;388;302;367;3210;86;5285;1852;189;3451;29754
01/05/2020;1123;25;96;1767;862;952;1077;5222;122;814;193;703;688;113;78;779;75;390;303;372;3218;87;5302;1856;189;3464;29870
02/05/2020;1128;;96;1779;865;955;1091;5227;122;816;193;704;688;113;;779;75;392;304;372;3225;89;5311;1858;189;3467;29941
03/05/2020;1132;;97;1791;865;956;1096;5233;122;816;193;705;689;113;;779;75;398;304;373;3235;90;5317;1860;189;3471;30002
